track_id,track_name,album,artist,plist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7oHkit3F3vimtsBbnZkU0G,Fire,KIDS SEE GHOSTS,KIDS SEE GHOSTS,Matt Music,0.709,0.751,6,-3.801,1,0.16,0.472,4.71e-06,0.182,0.37,104.999,audio_features,spotify:track:7oHkit3F3vimtsBbnZkU0G,https://api.spotify.com/v1/tracks/7oHkit3F3vimtsBbnZkU0G,https://api.spotify.com/v1/audio-analysis/7oHkit3F3vimtsBbnZkU0G,140527,4
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,Hot Fuss,The Killers,Best of the Best of the Best,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,audio_features,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4
7oUxy2bf36y4MWcqtmLafe,Higher Love,Star Jasmine,Steve Winwood,Best of the Best of the Best,0.653,0.95,5,-4.501,1,0.0556,0.0597,0.00742,0.257,0.892,98.667,audio_features,spotify:track:7oUxy2bf36y4MWcqtmLafe,https://api.spotify.com/v1/tracks/7oUxy2bf36y4MWcqtmLafe,https://api.spotify.com/v1/audio-analysis/7oUxy2bf36y4MWcqtmLafe,348027,4
7odIekt1GqLVEAAWdnd9mJ,In the Bag,GO:OD AM,Mac Miller,SHOTCLOCK BANGERS,0.717,0.634,1,-6.887,1,0.409,0.301,0.0,0.396,0.564,143.812,audio_features,spotify:track:7odIekt1GqLVEAAWdnd9mJ,https://api.spotify.com/v1/tracks/7odIekt1GqLVEAAWdnd9mJ,https://api.spotify.com/v1/audio-analysis/7odIekt1GqLVEAAWdnd9mJ,275507,4
7oeaVeH7DMRHkxeTgmuEwF,Freaknik Is Back,Freaknik The Musical,T-Pain,Matt Music,0.548,0.809,11,-4.019,0,0.344,0.0182,0.0,0.073,0.318,94.26,audio_features,spotify:track:7oeaVeH7DMRHkxeTgmuEwF,https://api.spotify.com/v1/tracks/7oeaVeH7DMRHkxeTgmuEwF,https://api.spotify.com/v1/audio-analysis/7oeaVeH7DMRHkxeTgmuEwF,147040,4
7ox2wvSzqTxQQf55Ggobbl,Love$ick,Love$ick,Mura Masa,Matt Music,0.629,0.772,1,-5.056,0,0.158,0.12,0.0051,0.265,0.743,88.547,audio_features,spotify:track:7ox2wvSzqTxQQf55Ggobbl,https://api.spotify.com/v1/tracks/7ox2wvSzqTxQQf55Ggobbl,https://api.spotify.com/v1/audio-analysis/7ox2wvSzqTxQQf55Ggobbl,192155,4
7p6IXGLt5Z6XYthXFlNywB,Number One,Get Lifted,John Legend,Matt Music,0.687,0.843,2,-5.65,0,0.204,0.0105,0.0,0.0957,0.77,87.911,audio_features,spotify:track:7p6IXGLt5Z6XYthXFlNywB,https://api.spotify.com/v1/tracks/7p6IXGLt5Z6XYthXFlNywB,https://api.spotify.com/v1/audio-analysis/7p6IXGLt5Z6XYthXFlNywB,198000,4
7pRcWov3NHxi0GDkKdbSb0,I. The Worst Guys,Because The Internet,Childish Gambino,Matt Music,0.613,0.684,5,-6.488,0,0.104,0.0534,0.0,0.0662,0.399,97.028,audio_features,spotify:track:7pRcWov3NHxi0GDkKdbSb0,https://api.spotify.com/v1/tracks/7pRcWov3NHxi0GDkKdbSb0,https://api.spotify.com/v1/audio-analysis/7pRcWov3NHxi0GDkKdbSb0,219747,4
7pas6O1LYbaeChEFQBhPFU,coordinate,Birds In The Trap Sing McKnight,Travis Scott,Matt Music,0.688,0.658,1,-4.155,1,0.0695,0.105,1.89e-06,0.335,0.28,75.615,audio_features,spotify:track:7pas6O1LYbaeChEFQBhPFU,https://api.spotify.com/v1/tracks/7pas6O1LYbaeChEFQBhPFU,https://api.spotify.com/v1/audio-analysis/7pas6O1LYbaeChEFQBhPFU,226397,4
7pdF27mSDuPWhppnHAmWHa,whoa (mind in awe),SKINS,XXXTENTACION,Matt Music,0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,audio_features,spotify:track:7pdF27mSDuPWhppnHAmWHa,https://api.spotify.com/v1/tracks/7pdF27mSDuPWhppnHAmWHa,https://api.spotify.com/v1/audio-analysis/7pdF27mSDuPWhppnHAmWHa,157777,4
